practice_slug,professional_slug,timezone,slot_start_utc,slot_end_utc
practice-047,pro-047,America/Denver,2026-06-12T16:00:00Z,2026-06-12T16:30:00Z
practice-048,pro-048,America/Los_Angeles,2026-06-12T17:00:00Z,2026-06-12T17:30:00Z
practice-049,pro-049,America/New_York,2026-06-13T14:00:00Z,2026-06-13T14:30:00Z
practice-050,pro-050,America/Chicago,2026-06-13T15:00:00Z,2026-06-13T15:30:00Z
practice-051,pro-051,America/Denver,2026-06-13T16:00:00Z,2026-06-13T16:30:00Z
practice-052,pro-052,America/Los_Angeles,2026-06-13T17:00:00Z,2026-06-13T17:30:00Z
practice-053,pro-053,America/New_York,2026-06-14T14:00:00Z,2026-06-14T14:30:00Z
practice-054,pro-054,America/Chicago,2026-06-14T15:00:00Z,2026-06-14T15:30:00Z
practice-055,pro-055,America/Denver,2026-06-14T16:00:00Z,2026-06-14T16:30:00Z
practice-056,pro-056,America/Los_Angeles,2026-06-14T17:00:00Z,2026-06-14T17:30:00Z
practice-057,pro-057,America/New_York,2026-06-15T14:00:00Z,2026-06-15T14:30:00Z
practice-058,pro-058,America/Chicago,2026-06-15T15:00:00Z,2026-06-15T15:30:00Z
practice-059,pro-059,America/Denver,2026-06-15T16:00:00Z,2026-06-15T16:30:00Z
practice-060,pro-060,America/Los_Angeles,2026-06-15T17:00:00Z,2026-06-15T17:30:00Z
practice-061,pro-061,America/New_York,2026-06-16T14:00:00Z,2026-06-16T14:30:00Z
practice-062,pro-062,America/Chicago,2026-06-16T15:00:00Z,2026-06-16T15:30:00Z
practice-063,pro-063,America/Denver,2026-06-16T16:00:00Z,2026-06-16T16:30:00Z
practice-064,pro-064,America/Los_Angeles,2026-06-16T17:00:00Z,2026-06-16T17:30:00Z
practice-065,pro-065,America/New_York,2026-06-17T14:00:00Z,2026-06-17T14:30:00Z
practice-066,pro-066,America/Chicago,2026-06-17T15:00:00Z,2026-06-17T15:30:00Z
practice-067,pro-067,America/Denver,2026-06-17T16:00:00Z,2026-06-17T16:30:00Z
practice-068,pro-068,America/Los_Angeles,2026-06-17T17:00:00Z,2026-06-17T17:30:00Z
practice-069,pro-069,America/New_York,2026-06-18T14:00:00Z,2026-06-18T14:30:00Z
practice-070,pro-070,America/Chicago,2026-06-18T15:00:00Z,2026-06-18T15:30:00Z
practice-071,pro-071,America/Denver,2026-06-18T16:00:00Z,2026-06-18T16:30:00Z
practice-072,pro-072,America/Los_Angeles,2026-06-18T17:00:00Z,2026-06-18T17:30:00Z
practice-073,pro-073,America/New_York,2026-06-19T14:00:00Z,2026-06-19T14:30:00Z
practice-074,pro-074,America/Chicago,2026-06-19T15:00:00Z,2026-06-19T15:30:00Z
practice-075,pro-075,America/Denver,2026-06-19T16:00:00Z,2026-06-19T16:30:00Z
practice-076,pro-076,America/Los_Angeles,2026-06-19T17:00:00Z,2026-06-19T17:30:00Z
practice-077,pro-077,America/New_York,2026-06-20T14:00:00Z,2026-06-20T14:30:00Z
practice-078,pro-078,America/Chicago,2026-06-20T15:00:00Z,2026-06-20T15:30:00Z
practice-079,pro-079,America/Denver,2026-06-20T16:00:00Z,2026-06-20T16:30:00Z
practice-080,pro-080,America/Los_Angeles,2026-06-20T17:00:00Z,2026-06-20T17:30:00Z
practice-081,pro-081,America/New_York,2026-06-21T14:00:00Z,2026-06-21T14:30:00Z
practice-082,pro-082,America/Chicago,2026-06-21T15:00:00Z,2026-06-21T15:30:00Z
practice-083,pro-083,America/Denver,2026-06-21T16:00:00Z,2026-06-21T16:30:00Z
practice-084,pro-084,America/Los_Angeles,2026-06-21T17:00:00Z,2026-06-21T17:30:00Z
practice-085,pro-085,America/New_York,2026-06-22T14:00:00Z,2026-06-22T14:30:00Z
practice-086,pro-086,America/Chicago,2026-06-22T15:00:00Z,2026-06-22T15:30:00Z
practice-087,pro-087,America/Denver,2026-06-22T16:00:00Z,2026-06-22T16:30:00Z
practice-088,pro-088,America/Los_Angeles,2026-06-22T17:00:00Z,2026-06-22T17:30:00Z
practice-089,pro-089,America/New_York,2026-06-23T14:00:00Z,2026-06-23T14:30:00Z
practice-090,pro-090,America/Chicago,2026-06-23T15:00:00Z,2026-06-23T15:30:00Z
practice-091,pro-091,America/Denver,2026-06-23T16:00:00Z,2026-06-23T16:30:00Z
practice-092,pro-092,America/Los_Angeles,2026-06-23T17:00:00Z,2026-06-23T17:30:00Z
practice-093,pro-093,America/New_York,2026-06-24T14:00:00Z,2026-06-24T14:30:00Z
practice-094,pro-094,America/Chicago,2026-06-24T15:00:00Z,2026-06-24T15:30:00Z
practice-095,pro-095,America/Denver,2026-06-24T16:00:00Z,2026-06-24T16:30:00Z
practice-096,pro-096,America/Los_Angeles,2026-06-24T17:00:00Z,2026-06-24T17:30:00Z
practice-097,pro-097,America/New_York,2026-06-25T14:00:00Z,2026-06-25T14:30:00Z
practice-098,pro-098,America/Chicago,2026-06-25T15:00:00Z,2026-06-25T15:30:00Z
practice-099,pro-099,America/Denver,2026-06-25T16:00:00Z,2026-06-25T16:30:00Z
practice-100,pro-100,America/Los_Angeles,2026-06-25T17:00:00Z,2026-06-25T17:30:00Z
